show_id,name,total_episodes,description
6nCyA2LmjBq1q2535ZnhVz,The JoyRide.,97,"Welcome onboard the ultimate Joy Ride. Hosted by celebrated Kenyan Content Creators and dynamic duo Ben Cyco and Wanjiru Njiru, the JoyRide is a celebration and conversation of all life is and we would be delighted if you hopped on the ride."
3u7cyLrJUjPeUjCWzWPgIo,SPACE YAKO THE PODCAST,21,"This is a space for exploration where three Kenyan women and their guests talk sex, relationships, body changes and everything in between. Brought to you by the resident millennial, Ciku and the oh, so vibrant Gen Z's; Marlyne and Gladwell."
5Um2n9hR6jM779iSrMbvKt,The 30 Percent Podcast,167,The 30 Percent Podcast is a podcast that focuses on the Kenyan music industry. The name is derived from the astonishing stat that between 30% - 40% of music played on Kenyan radio stations is Kenyan.   Our goal is to see this percentage go up significantly.   We will also broadly discuss global music industry trends and contextualize them through the lens of two music producers based in Kenya.
5277LF5XJuPTbtvjPHt7v5,Ado Veli Podcast,269,Ado Veli Podcast is the number 1 weekly Kenyan music podcast show hosted by Pesh.
5FsqiGVIZR9qffulRPd4Ry,Financially Incorrect,168,Money doesn't have to be intimidating. The Financially Incorrect Podcast is a fun and informative way to learn about personal finance. Host Barrack Bukusi debunks money myths and reveals the truth behind common misconceptions. Join him with a different guest every week as he helps you achieve your financial goals.
7AL3P5nw7FWtRZiURSrHcC,Kenyan Wallstreet,300,"Listen to kenyanwallstreet.com Podcasts episodes free, on-demand. Get insights on business in Africa and the world as well as interviews with business leaders."
1RXkF5wiWjqnZX6klDY0Ww,Moments of Hope Podcast,52,"Antony Kahura Mwangi, often known as Pastor T Mwangi, is a Kenyan Gospel Minister. He is the Senior Pastor of Life Church International Limuru and the founder of Gathering of Champions, an Interdenominational Fellowship in Nairobi. He is also the President and founder of The Truth Mentorship Society, an organisation that yearly brings together and mentors over 100,000 young people. He is a mentor, a Father to many young people globally, and operates under the Apostolic grace."
4oWZvTW6T3hOISr0mMlGEu,Conversations With Kalekye,29,"This podcast, hosted by Kenyan Media guru, Kalekye Mumo, hosts conversations around life and relationship experiences in an honest, raw and real way. The main objective is to create a safe space where individuals can share their experiences in different relationships be it with people or with their day to day experiences and as a result, help open the eyes of others facing the same issues. The aim is to learn & grow better relationships based on the author of relationships – God."
6iTTAXdCfVU0RuVENTp5JD,Crime and Consequence KE,18,Kenya's Favourite True Crime Show! 
7g275cSJ7wrYg1vFdfDGuI,Over Twenty Five ,3,Kenya's Favorite YouTube Channel now on podcast!
4kVdGojkGIvRF5KiOcBr6x,Kenyan Girl Chronicles ,26,"Kenyan girl chronicles is about self-growth, self-love, self-care and all about self! It is about experiences, interviews and stories that matter to everybody..... Enjoy the podcast as it’s made out of love, life and laughter  All the rollercoasters of life are welcomed!"
1lSiW83iz6KiiC96u3bI5q,KENYAN MADNESS PODCAST ,5,All about the madness....
32Dveq594lQrHl7nGZclbW,TRUE CRIME KENYA,46,Uncovering Kenya's Darkest Stories https://laiinlabs.netlify.app/
1EsytM7Glx3WVZ7zUD5ZhA,Mantalk.ke,122,A space for elevating and honest conversations.
2EMLRqNYTTn1sF3YFgGhEB,The Bored Cast,73,Just feel your human feelings honey.??
6s0Jv7q0hfXx9uXpUqvAf4,DJ HERRY MIXES,33,Mr. Burudani https://bit.ly/DjHerry djherry.ke@gmail.com
2IUGFOYi5SzRPYw621EfLC,Kenyan Design Konversations,63,"This is ""Kenyan Design Konversations,"" a podcast dedicated to engaging in discussions that span from the most challenging to the most captivating aspects of design in regards to dilemas budding designers have. Our primary mission with this podcast is to bridge the skillset gap that exists between top-tier designers and those at an average level."
2AGPUf2RVAIbQlOqPWKCbC,Roaming mic podcast,15,"Welcome to Roaming mic, A vibrant podcast where we dive into society, culture, entertainment, and everything in between,all through the eyes of Kenyan youth with a humorous twist. Expect real conversations, funny takes, and perspectives that are fresh, unfiltered, and unapologetically real. Pull up a seat, laugh a little, and let’s talk about life, trends, and all the things that make it interesting."
1xzTJmPAplfCgbQCab5oGR,TUBONGE ??? PODCAST ,19,"Step into Tubonge, the talk show from CH Studios where real stories meet unfiltered vibes. Hosted by Chris The Bass, Tubonge brings you inspiring, funny and honest conversations with Kenya’s top artists, media voices and cultural icons. Recorded in Nairobi’s creative hub, each episode blends Swahili and English, laughter and lessons, hustle and heart. It’s more than a podcast, it’s a space to connect, reflect and celebrate the voices shaping our culture."
1q5lYzuRDt1qbgJDjTNDch,Mkurugenzii,15,A story/tales/unfollowed but lit documentaries/celeb stories and tete a tetes to make your day. It's a lit podcast i promise you.
5Dzus8crPk07jE7tXkHs0w,The ZOZA Podcast,233,"The Zoza Podcast is a weekly podcast featuring friends Jonito, Muthoni, Vlad, Farii, Kiragu and the Zoza Podcast family. They share their experiences and try to give their full, unfiltered opinion on anything that comes to mind. We appreciate our audience for the time they allocate to listen to us. ALWAYS WITH A K!!!!!!!!"
4gFND8QDU0r9zOVgE5oOd9,Tao Ndani - Kenyan Football Podcast,58,"Hapa tunaongea kuhusu local sports za Kenya, including FKF Premier League na NSL.  Kenyan Sports fans speaking about everything to do with local football including the Kenya Premier League."
4IIfzZpr7BkerGDR64YyIa,Another Podcast with Tawi and Kitt,27,"This is what happens when two sisters, who also happen to be gloriously opinionated, decide the group chat deserves a mic. Tawi Nyang'aya overthinks everything and Kitt Nyang'aya Kiarie overshares on purpose. Together, they spiral through life’s biggest questions (and pettiest dramas), one laugh, hot take, and emotional detour at a time. Expect zero filters, plenty of shade, and the kind of honesty that might get them cancelled."
3h4DEu9igcEJ3RPLdPHamn,The AfriCAN Do! Podcast,36,"AfriCAN Do! is a channel featuring stories of African Entrepreneurs by African Entrepreneurs. The name is both an affirmation that Africans CAN Do! and a clarion call to Africans to Do! A celebration, ownership and statement of intent all rolled into a podcast.  It will feature authentic, contextual, vulnerable, inspiring and informative stories of entrepreneurial journeys building businesses and brands in various sectors in African markets. The initial focus will be on Kenyan entrepreneurs graduating gradually to regional and continental players. AfriCAN Do! hopes to create conversation."
7FpACoIY9qevfbOeuGSsjd,The Chop Shop Podcast KE ,61,"Urban  Vibes central  Fresh Funny Kultured Entertaining     Two millenials in the entertainment industry talking about our lives in the field ,the party scene,what’s going on in the kulture(Kenyan new sounds) both locally and internationally    We drop our own wisdom/Gems,unsolicited.    Our honest and unfiltered opinions on pop culture   We also get into music,give our unpopular opinions on songs,artists and projects, and we also allow conversation to grow around that.   We are also keen to put on Kenyan music more than it receives attention."
3QgeBZP3MGsMsi0xhwmeHb,The Market Colour Podcast,196,"Keeping you informed with a weekly overview of global financial markets, including a special focus on the Kenyan markets."
4ieFLwMOduz3MBhpVsPfIN,The Kenyan Market Daily,13,"Your daily dose of Kenyan market insights! Stay ahead with concise updates on the NSE, interviews with financial experts, company deep dives, and practical investment tips. Whether you're a seasoned pro or just starting, we'll guide you through the Kenyan investment landscape. Tune in every weekday for market wisdom and actionable advice! RSSVERIFY"
3iDGuiAtnxV4f0bN1Qeupv,Nipe Story,113,Nipe Story (Tell Me A Story)  is a fortnightly Kenyan podcast that gives a voice to written short stories.  This podcast is hosted by Kevin Mwachiro. @kevmwachiro Karibu! Welcome.
